sold_date,price,beds,baths,area,lot_size,year_built,hoa_month,town,municipality,long,lat
2022-09-12,340000,2,3,1864,4.5,1999,,Newfield,Unincorporated,-76.594877250029,42.38608792733662
2022-09-12,390000,4,3,3252,0.3399908172635445,1988,,Ithaca,Unincorporated,-76.45546269457792,42.470456736645154
2022-09-12,625500,2,3,1704,65,1988,,Dryden,Unincorporated,-76.35953238248217,42.439712091115666
2022-09-13,246600,2,1.5,1264,0.21000918273645547,1953,,Ithaca,Ithaca city,-76.52434698880958,42.452079443088564
2022-07-22,172000,,,2644,0.13000459136822773,1870,,Dryden,Dryden village,-76.29871603996739,42.49046486322757
2022-03-15,205000,2,1,820,0.23999081726354454,1932,,Ithaca,Unincorporated,-76.48761124763685,42.42738912802693
2022-06-24,230000,5,2,2900,5.669995408631772,1850,,Lansing,Unincorporated,-76.59421517328524,42.618292352969995
2022-07-11,246000,5,2,2364,1.0100091827364555,1985,,Dryden,Unincorporated,-76.34319232926498,42.48626711757618
2022-04-05,350000,3,2.5,2016,1.3300045913682277,1984,,Dryden,Unincorporated,-76.3749792411025,42.420421280321065
2022-05-25,446500,5,4,2882,0.35,2002,,Ithaca,Unincorporated,-76.45426666310114,42.46908846237414
2022-05-31,290000,3,1,1246,0.9839990817263544,1961,,Dryden,Unincorporated,-76.42149398006976,42.401615254038326
2022-03-31,114000,2,1.5,1134,0.03000459136822773,2014,,Ithaca,Unincorporated,-76.50490258305041,42.407873568930405
2022-06-08,375000,2,2,1720,0.38000459136822773,1931,,Ithaca,Cayuga Heights village,-76.48193203236522,42.470696282444074
2022-04-08,650000,4,2.5,2782,0.9300045913682278,1917,,Ithaca,Cayuga Heights village,-76.4882027522242,42.45741212636964
2022-06-08,381000,3,2.5,1874,0.21999540863177228,1986,,Ithaca,Unincorporated,-76.46721297541482,42.42780959193324
2022-05-20,405000,5,3,2800,0.28999081726354453,1990,,Ithaca,Unincorporated,-76.45754725278248,42.46837042859316
2022-05-12,411000,4,2,2353,0.3600091827364555,1963,,Ithaca,Unincorporated,-76.45828093891038,42.47394715078498
2022-05-02,670000,3,2.5,2736,0.6,1980,,Ithaca,Unincorporated,-76.47538146661732,42.47014478141724
2022-05-09,570000,4,2.5,2500,0.3399908172635445,1987,,Ithaca,Unincorporated,-76.47416689739529,42.47769920583086
2022-05-27,550000,3,3.5,2600,0.2,2021,250,Lansing,Lansing village,-76.47624899437649,42.48878341423017
2022-05-26,548500,3,3.5,2600,0.11000918273645546,2021,250,Lansing,Lansing village,-76.47623737011901,42.4888105308607
2022-06-06,211500,3,2,1452,0.23000459136822773,1870,,Ithaca,Ithaca city,-76.518909500235,42.44370586391041
2022-05-26,510000,6,3,2690,0.11000918273645546,1900,,Ithaca,Ithaca city,-76.48291246461248,42.44051782629843
