outcome,sex,year,name,Trump,Harris,part_diff
Trump,M,1983,Kendrick,0.9419953596287703,0.058004640371229696,0.8839907192575407
Trump,M,1983,Trey,0.9318181818181818,0.06818181818181818,0.8636363636363635
Trump,M,1983,Rodrick,0.926829268292683,0.07317073170731707,0.853658536585366
Trump,F,1983,Ashlea,0.9166666666666666,0.08333333333333333,0.8333333333333333
Trump,F,1983,Tosha,0.8898305084745762,0.11016949152542373,0.7796610169491525
Trump,F,1983,Misti,0.8863636363636364,0.11363636363636363,0.7727272727272727
Trump,F,1983,Latoria,0.8833333333333333,0.11666666666666667,0.7666666666666666
Trump,M,1983,Jackie,0.8762541806020067,0.12374581939799331,0.7525083612040133
Trump,M,1983,Demarcus,0.8700787401574803,0.12992125984251968,0.7401574803149606
Trump,F,1983,Angelia,0.8686131386861314,0.13138686131386862,0.7372262773722629
Trump,M,1983,Quinton,0.8685524126455907,0.1314475873544093,0.7371048252911814
Trump,M,1983,Alton,0.8571428571428571,0.14285714285714285,0.7142857142857142
Trump,F,1983,Kala,0.8565573770491803,0.14344262295081966,0.7131147540983607
Trump,F,1983,Maranda,0.8537313432835821,0.14626865671641792,0.7074626865671643
Trump,M,1983,Demario,0.8535031847133758,0.1464968152866242,0.7070063694267517
Trump,M,1983,Cedrick,0.8493150684931506,0.1506849315068493,0.6986301369863013
Trump,F,1983,Chasity,0.8484375,0.1515625,0.6968749999999999
Trump,F,1983,Shonda,0.848,0.152,0.696
Trump,F,1983,Latosha,0.8468468468468469,0.15315315315315314,0.6936936936936937
Trump,F,1983,Britni,0.8468468468468469,0.15315315315315314,0.6936936936936937
Trump,M,1993,Demarcus,0.9432624113475178,0.05673758865248227,0.8865248226950355
Trump,M,1993,Ladarius,0.9428571428571428,0.05714285714285714,0.8857142857142857
Trump,F,1993,Laken,0.9294117647058824,0.07058823529411765,0.8588235294117648
Trump,M,1993,Dusty,0.9146341463414634,0.08536585365853659,0.8292682926829269
Trump,M,1993,Kolby,0.9097744360902256,0.09022556390977443,0.8195488721804511
Trump,M,1993,Marquez,0.9096774193548387,0.09032258064516129,0.8193548387096774
Trump,M,1993,Scotty,0.8991596638655462,0.10084033613445378,0.7983193277310925
