GEOID,NAME,STUSPS,date,mort_adj
01,Alabama,AL,2000,12.802737000561299
01,Alabama,AL,2001,13.20609521728951
01,Alabama,AL,2002,12.72296153045174
01,Alabama,AL,2003,14.433247451810162
01,Alabama,AL,2004,14.787907199923016
01,Alabama,AL,2005,16.412078852379917
01,Alabama,AL,2006,16.202270002836478
01,Alabama,AL,2007,14.338175499268111
01,Alabama,AL,2008,10.173358263712945
01,Alabama,AL,2009,8.19682812176199
01,Alabama,AL,2010,7.313738921252764
01,Alabama,AL,2011,6.875512798662901
01,Alabama,AL,2012,7.474102235753116
01,Alabama,AL,2013,8.27885501779333
01,Alabama,AL,2014,8.051634512773918
01,Alabama,AL,2015,9.681134332330272
01,Alabama,AL,2016,10.684586087353889
01,Alabama,AL,2017,11.275138176818357
01,Alabama,AL,2018,11.652562296233484
01,Alabama,AL,2019,12.632526923073005
01,Alabama,AL,2020,14.0200246589883
01,Alabama,AL,2021,15.444382402908296
01,Alabama,AL,2022,13.007737830226553
01,Alabama,AL,2023,10.374930409664893
02,Alaska,AK,2000,14.332054595573306
02,Alaska,AK,2001,17.357987988272313
02,Alaska,AK,2002,18.681782304304438
02,Alaska,AK,2003,18.50669479684276
02,Alaska,AK,2004,19.718301313845586
02,Alaska,AK,2005,17.992461158774475
02,Alaska,AK,2006,17.76982742535932
02,Alaska,AK,2007,16.169337057180655
02,Alaska,AK,2008,13.091766006502244
02,Alaska,AK,2009,12.877470864722168
02,Alaska,AK,2010,9.804168732545078
02,Alaska,AK,2011,9.690606618130571
02,Alaska,AK,2012,10.946757707201598
02,Alaska,AK,2013,10.845604683132102
02,Alaska,AK,2014,12.21042634738663
02,Alaska,AK,2015,13.542245033381635
02,Alaska,AK,2016,12.11998788001212
02,Alaska,AK,2017,12.146027641659794
02,Alaska,AK,2018,12.217902213340864
02,Alaska,AK,2019,12.268215915147566
02,Alaska,AK,2020,12.309240957494824
02,Alaska,AK,2021,14.967554424068917
02,Alaska,AK,2022,12.273686851881148
02,Alaska,AK,2023,9.54450877140356
04,Arizona,AZ,2000,26.159819834414154
04,Arizona,AZ,2001,26.73757750341947
04,Arizona,AZ,2002,26.870487032210303
04,Arizona,AZ,2003,27.039955981129378
04,Arizona,AZ,2004,29.54495113937362
04,Arizona,AZ,2005,33.56694902293633
04,Arizona,AZ,2006,28.362249282277524
04,Arizona,AZ,2007,19.78053015387793
04,Arizona,AZ,2008,13.534251688039639
04,Arizona,AZ,2009,13.084973185263987
04,Arizona,AZ,2010,11.237108929100398
04,Arizona,AZ,2011,10.967934086114656
04,Arizona,AZ,2012,10.829206033118457
04,Arizona,AZ,2013,12.208558350126381
04,Arizona,AZ,2014,12.476100470037085
04,Arizona,AZ,2015,13.903503829317659
04,Arizona,AZ,2016,15.263291050657278
04,Arizona,AZ,2017,16.174599409087968
04,Arizona,AZ,2018,16.47072092066305
04,Arizona,AZ,2019,16.731023967466115
04,Arizona,AZ,2020,17.247417300318364
04,Arizona,AZ,2021,18.700617821661282
04,Arizona,AZ,2022,13.983765798261235
04,Arizona,AZ,2023,11.168908342824661
05,Arkansas,AR,2000,12.693254804396945
05,Arkansas,AR,2001,13.375088377754107
05,Arkansas,AR,2002,13.304128307969876
05,Arkansas,AR,2003,15.046887569656079
05,Arkansas,AR,2004,15.638149228675564
05,Arkansas,AR,2005,16.540235741507757
05,Arkansas,AR,2006,15.593099486455445
05,Arkansas,AR,2007,14.041739069383743
05,Arkansas,AR,2008,11.132161719696343
05,Arkansas,AR,2009,10.01089807076186
05,Arkansas,AR,2010,8.555789565906615
05,Arkansas,AR,2011,7.820368182934053
05,Arkansas,AR,2012,8.466322324405088
05,Arkansas,AR,2013,8.782421914980075
05,Arkansas,AR,2014,8.757868186673287
05,Arkansas,AR,2015,9.396818237344835
05,Arkansas,AR,2016,10.695848506675713
05,Arkansas,AR,2017,10.985883140164889
05,Arkansas,AR,2018,11.287577257656546
05,Arkansas,AR,2019,11.254607354885907
05,Arkansas,AR,2020,12.869070080995947
05,Arkansas,AR,2021,14.198715313446547
05,Arkansas,AR,2022,11.488955502947082
05,Arkansas,AR,2023,9.453237766532409
06,California,CA,2000,18.212322551589345
06,California,CA,2001,17.691693413510155
06,California,CA,2002,19.327914501106235
06,California,CA,2003,18.92029023555024
06,California,CA,2004,19.199104439080312
06,California,CA,2005,20.458891541722057
06,California,CA,2006,17.04551669319641
06,California,CA,2007,10.86887226981308
06,California,CA,2008,9.452431825223334
06,California,CA,2009,9.361160582620236
